epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,536.701,1.61986,2.95936,1.28614,1.14829,0,0.72011,0.26394,0.49693,0.30555,0.69591,0.25348,0.47894,0.2777,1.65329,2.95838,1.36946,1.14973,0,0.000366172,0.000366172,0.000366172
2,1055.5,1.61375,2.96039,1.26303,1.15467,0,0.75243,0.22759,0.49865,0.30179,0.72252,0.21646,0.47836,0.27275,1.7015,3.06913,1.45736,1.16479,0,0.000663592,0.000663592,0.000663592
3,1576.54,1.61976,2.97253,1.25015,1.16449,0,0.58012,0.2854,0.43065,0.24536,0.564,0.28029,0.41854,0.22341,1.79637,3.34572,1.45746,1.24822,0,0.000887685,0.000887685,0.000887685
4,2097.73,1.61092,2.94184,1.22373,1.16355,0,0.68641,0.27522,0.49029,0.29628,0.65324,0.26432,0.46885,0.26103,1.65221,3.01948,1.31669,1.17106,0,0.000781033,0.000781033,0.000781033
5,2622.25,1.57027,2.8885,1.17371,1.14742,0,0.60591,0.35406,0.4941,0.28791,0.58245,0.3404,0.47487,0.26131,1.59983,2.95156,1.21424,1.15421,0,0.000671044,0.000671044,0.000671044
6,3170.22,1.53948,2.82833,1.13368,1.13419,0,0.57015,0.39673,0.48898,0.28124,0.54444,0.37745,0.46275,0.25053,1.60012,2.85153,1.17542,1.13708,0,0.000561055,0.000561055,0.000561055
7,4058.82,1.51465,2.7849,1.10526,1.12125,0,0.65272,0.37355,0.5265,0.31979,0.6246,0.35657,0.50342,0.28685,1.54151,2.82181,1.12525,1.12274,0,0.000451066,0.000451066,0.000451066
8,4965.23,1.48766,2.74205,1.07476,1.1092,0,0.60509,0.40327,0.52338,0.3187,0.58177,0.38625,0.50323,0.28515,1.51819,2.74856,1.09321,1.11211,0,0.000341077,0.000341077,0.000341077
9,5715.68,1.46263,2.69821,1.04799,1.10142,0,0.61924,0.40519,0.53611,0.32633,0.59175,0.38739,0.51282,0.2925,1.48892,2.69873,1.06417,1.09711,0,0.000231088,0.000231088,0.000231088
10,6298.07,1.4409,2.65868,1.02206,1.09067,0,0.62075,0.41712,0.54129,0.32925,0.59888,0.40128,0.52117,0.29661,1.48573,2.67164,1.04828,1.09172,0,0.000121099,0.000121099,0.000121099
