epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.1261,1.92733,3.62812,3.85589,0.00974,4.75088,0,0,0,0,0,0,0,0,1.70198,3.1587,3.19541,0.00956,0,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,143.653,1.84935,3.00201,2.25872,0.00847,1.83646,0.6797,0.14643,0.40687,0.25555,0.64151,0.14352,0.3853,0.23013,1.7268,2.93229,2.06564,0.00971,0,0.0197936,0.00659787,0.0197936,0.00659787,0.0197936,0.00659787,0.0197936,0.00659787
3,200.087,1.85155,2.92274,1.96162,0.00843,1.77703,0.57637,0.27864,0.42046,0.24821,0.55981,0.26952,0.40689,0.22325,1.82982,3.02447,1.9163,0.01085,0,0.0296621,0.00988736,0.0296621,0.00988736,0.0296621,0.00988736,0.0296621,0.00988736
4,257.121,1.88578,2.93646,1.86293,0.00858,1.75258,0.52324,0.3463,0.42955,0.25008,0.5023,0.33223,0.41095,0.21933,1.82143,3.03371,1.87564,0.01064,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,313.938,1.88034,2.90824,1.79822,0.0087,1.69533,0.71404,0.23238,0.46896,0.2909,0.69867,0.22721,0.46084,0.2582,1.85136,3.06776,1.78878,0.01104,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,371.008,1.86969,2.86983,1.75734,0.00868,1.67543,0.54336,0.35198,0.45183,0.26466,0.52741,0.34019,0.43885,0.23535,1.87161,2.98548,1.85073,0.01087,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,429.306,1.88232,2.87321,1.70477,0.00859,1.63567,0.65021,0.27281,0.45991,0.27317,0.64131,0.26899,0.45379,0.25655,1.91934,2.96601,1.76171,0.01172,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,485.931,1.85549,2.81136,1.68036,0.00866,1.60717,0.60982,0.37185,0.49911,0.30394,0.59064,0.36107,0.48479,0.27343,1.83294,2.90506,1.65632,0.01056,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,547.416,1.87868,2.83273,1.64976,0.00848,1.51425,0.58911,0.401,0.50467,0.30104,0.56694,0.38573,0.4857,0.26923,1.86111,2.83563,1.63215,0.01073,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,609.788,1.87029,2.80248,1.62782,0.00853,1.57412,0.63254,0.3684,0.5066,0.30477,0.61356,0.35755,0.49278,0.26491,1.86475,2.8905,1.63814,0.01065,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,667.146,1.8725,2.80293,1.61803,0.00858,1.54623,0.68696,0.35243,0.52045,0.32793,0.66669,0.34137,0.50594,0.29684,1.80218,2.84389,1.59179,0.0104,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,724.219,1.85851,2.78461,1.59203,0.00854,1.49884,0.66673,0.36198,0.52528,0.32748,0.64823,0.35208,0.51261,0.29937,1.83533,2.85497,1.58865,0.01053,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,781.91,1.85834,2.76917,1.58461,0.00854,1.479,0.68309,0.3543,0.52673,0.32472,0.65969,0.3428,0.51037,0.28648,1.85462,2.90562,1.58396,0.01094,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,839.471,1.8655,2.78195,1.57998,0.0085,1.49458,0.66831,0.39365,0.53647,0.33571,0.65521,0.38557,0.52545,0.30688,1.81514,2.75778,1.5271,0.01053,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,897.33,1.86183,2.76992,1.56268,0.00842,1.45698,0.64976,0.3879,0.53302,0.32487,0.63282,0.37735,0.51833,0.29548,1.83716,2.84707,1.56783,0.01049,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,954.247,1.85914,2.75898,1.56527,0.00848,1.44348,0.62124,0.40206,0.52363,0.32344,0.60785,0.39321,0.51387,0.29414,1.83124,2.84499,1.54868,0.01046,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1011.87,1.85634,2.75181,1.545,0.0084,1.41676,0.56686,0.42294,0.5051,0.30251,0.54772,0.40712,0.48631,0.26667,1.84838,2.79918,1.61941,0.01043,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1069.25,1.86527,2.75765,1.53951,0.00837,1.42052,0.64643,0.39057,0.52908,0.32685,0.62639,0.37846,0.51508,0.29517,1.84773,2.80618,1.5352,0.01059,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1126.67,1.85379,2.72998,1.54058,0.00848,1.4239,0.62328,0.39991,0.52213,0.32302,0.61085,0.39192,0.51401,0.29148,1.83256,2.81202,1.55445,0.01048,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1184.19,1.85641,2.72787,1.51964,0.00839,1.37354,0.64379,0.40304,0.5374,0.33548,0.62733,0.39239,0.52559,0.30152,1.81026,2.82168,1.51408,0.01044,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1241.77,1.85869,2.74343,1.52354,0.00836,1.36257,0.63572,0.39575,0.53064,0.32975,0.61356,0.38145,0.51186,0.29088,1.82403,2.8281,1.59168,0.01051,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1299.03,1.83631,2.70786,1.50316,0.00831,1.3691,0.66831,0.39163,0.54139,0.33756,0.65156,0.38174,0.53054,0.30369,1.83127,2.74109,1.53048,0.01037,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1356.62,1.85929,2.73575,1.51065,0.00836,1.36154,0.64855,0.41317,0.54752,0.33541,0.63111,0.40108,0.53346,0.30401,1.84021,2.78789,1.52549,0.01057,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
