epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1231.85,1.38627,2.61409,0.94687,1.06314,0,0.66079,0.45005,0.58403,0.37226,0.63963,0.4354,0.5663,0.3278,1.35107,2.53693,0.91821,1.04316,0,0.00110472,0.000368241,0.00110472,0.000368241,0.00110472,0.000368241,0.00110472,0.000368241
2,2454.33,1.38802,2.61304,0.94905,1.06442,0,0.66084,0.44827,0.58251,0.37253,0.63944,0.43332,0.5641,0.32659,1.34938,2.53933,0.9196,1.04358,0,0.00199637,0.000665456,0.00199637,0.000665456,0.00199637,0.000665456,0.00199637,0.000665456
3,3659.79,1.39326,2.61907,0.95127,1.06472,0,0.66098,0.44418,0.58046,0.36714,0.63764,0.42813,0.56004,0.3233,1.37557,2.55462,0.93511,1.04965,0,0.00266803,0.000889344,0.00266803,0.000889344,0.00266803,0.000889344,0.00266803,0.000889344
4,4826.25,1.3952,2.62088,0.95191,1.06463,0,0.65092,0.44555,0.57735,0.36827,0.63088,0.4317,0.5608,0.32371,1.36122,2.56415,0.93317,1.04755,0,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
5,5996.76,1.39134,2.61525,0.94858,1.06427,0,0.63364,0.45472,0.57477,0.36278,0.61644,0.44166,0.55846,0.32055,1.374,2.55754,0.9292,1.04735,0,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
6,7194.95,1.38827,2.60715,0.94464,1.06192,0,0.6562,0.4465,0.58039,0.36936,0.63425,0.43136,0.56104,0.32523,1.3507,2.54905,0.92314,1.04808,0,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
7,8368.25,1.37865,2.59344,0.93972,1.05994,0,0.6536,0.45269,0.58232,0.3701,0.63454,0.43898,0.56615,0.32712,1.35458,2.53904,0.91948,1.04452,0,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
8,9557.98,1.37491,2.58542,0.93451,1.05954,0,0.65596,0.4538,0.58423,0.3719,0.63467,0.43866,0.566,0.3277,1.34751,2.53034,0.91782,1.04344,0,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
9,10709.8,1.36967,2.5718,0.93109,1.05701,0,0.6519,0.45724,0.5847,0.37146,0.62989,0.44168,0.56577,0.3267,1.34752,2.52234,0.91411,1.04086,0,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
10,11897.7,1.3682,2.57552,0.9296,1.05708,0,0.65578,0.45544,0.58541,0.37366,0.63592,0.44117,0.56839,0.3289,1.34487,2.51715,0.91047,1.03996,0,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
