epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1647.01,1.98586,2.99528,1.46056,0.01154,1.14409,0.66968,0.37428,0.5359,0.32421,0.65971,0.3681,0.52612,0.30909,1.92909,2.88864,1.4026,0.01191,0,0.000366125,0.000366125,0.000366125
2,3131.81,1.98463,2.98061,1.42646,0.01147,1.12415,0.64333,0.38886,0.53315,0.31188,0.63381,0.38223,0.52209,0.29952,1.97867,2.94976,1.41134,0.01237,0,0.000663549,0.000663549,0.000663549
3,4614.52,2.00117,2.99251,1.43366,0.01158,1.13829,0.66896,0.36167,0.52841,0.31034,0.65372,0.35368,0.51517,0.29485,2.00666,3.02557,1.43467,0.01246,0,0.000887647,0.000887647,0.000887647
4,6114.5,2.00465,2.98544,1.43175,0.01168,1.13425,0.72063,0.33538,0.53927,0.32493,0.70481,0.32802,0.52673,0.30727,1.98108,2.98257,1.42994,0.01222,0,0.000781033,0.000781033,0.000781033
5,7590.25,1.98764,2.96807,1.41219,0.01156,1.11427,0.71559,0.34736,0.54289,0.32587,0.70023,0.34106,0.53179,0.31245,1.99088,2.93982,1.41666,0.01233,0,0.000671044,0.000671044,0.000671044
6,9093.59,1.97903,2.94098,1.39774,0.01144,1.09161,0.70572,0.36144,0.54789,0.32948,0.6916,0.35483,0.53549,0.31743,1.97542,2.8787,1.38748,0.01223,0,0.000561055,0.000561055,0.000561055
7,10592.6,1.96993,2.92251,1.37903,0.0113,1.06418,0.70065,0.37242,0.55024,0.33973,0.68933,0.36642,0.54002,0.32143,1.93001,2.88548,1.36592,0.01181,0,0.000451066,0.000451066,0.000451066
8,12080.4,1.95706,2.89202,1.36185,0.01118,1.02746,0.71518,0.37392,0.56004,0.34393,0.70061,0.36711,0.54817,0.32563,1.92036,2.85717,1.36016,0.01155,0,0.000341077,0.000341077,0.000341077
9,13557.6,1.9487,2.88388,1.34966,0.01106,1.01005,0.6948,0.39468,0.5615,0.34571,0.6811,0.38758,0.54931,0.32821,1.89906,2.81857,1.33429,0.01145,0,0.000231088,0.000231088,0.000231088
10,15114.1,1.94103,2.86742,1.33602,0.01095,0.98896,0.70359,0.39292,0.56398,0.35098,0.6911,0.38611,0.55275,0.33209,1.89093,2.80181,1.32757,0.01136,0,0.000121099,0.000121099,0.000121099
